Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
EON Space Labs,Advanced Hardware & Technology,Hyderabad,$1.2 Mn,Pre-Series A,MGF Kavachh,1200000.0
MangoPoint,Ecommerce,Chennai,$1 Mn,Pre-Series A,Inflection Point Ventures,1000000.0
Fraganote,Ecommerce,New Delhi,$1 Mn,Pre-Series A,Rukam Capital,1000000.0
Shotgun Games,Media & Entertainment,Mumbai,$1 Mn,Seed,—,1000000.0
Gladful,Ecommerce,Jaipur,$913K,—,Eternal Capital,913000.0
Terafac,Advanced Hardware & Technology,Chandigarh,$800K,Pre-Seed,Inuka Capital,800000.0
Prozo,Logistics,Gurugram,—,—,Ranbir Kapoor,
Prozo,Logistics,Gurugram,—,—,Ranbir Kapoor,
Safe Security,Enterprise Tech,New Delhi,$70 Mn,Series C,Avataar Venture Partners,70000000.0
Metaforms,AI,Bengaluru,$9 Mn,Series A,Peak XV Partners,9000000.0
STAN,Media & Entertainment,Chennai,$8.5 Mn,Series A,-,8500000.0
Arivihan,Edtech,Indore,$4.2 Mn,Pre-Series A,"Prosus, Accel",4200000.0
Sharpsell.ai,Enterprise Tech,Mumbai,$3.4 Mn,Series A,Equentis Angel Fund,3400000.0
Drizz,AI,Bengaluru,$2.7 Mn,Seed,Stellaris Venture Partners,2700000.0
Littlebox,Ecommerce,Noida,$2.1 Mn,Seed,"Huddle Ventures, Prath Ventures",2100000.0
Snooplay,Ecommerce,New Delhi,$916K,Pre-Series A,Pravek Family Office,916000.0
Zepto,Consumer Services,Bengaluru,$857K,–,Elcid Investments,857000.0
Heizen,Enterprise Services,New Delhi,$500K,Pre-Seed,Titan Capital,500000.0
Passport Trips,Travel Tech,Mumbai,$500K,Pre-Seed,Aroa Venture Partners,500000.0
ILine,Logistics,Noida,$500K,–,-,500000.0
Genexis Biotech,Health Tech,Vadodara,$457K,Seed,GVFL,457000.0
Vahan.ai,AI,Bengaluru,–,–,Temasek,
Vahan.ai,AI,Bengaluru,–,–,Temasek,
Gupshup,Enterprise Tech,Mumbai,$60 Mn,–,-,60000000.0
Netrasemi,Advanced Hardware & Technology,Thiruvananthapuram,$12.4 Mn,Series A,Zoho Corporation,12400000.0
SuperK,Consumer Services,Bengaluru,$11.5 Mn,Series B,3STATE Ventures,11500000.0
Kluisz.ai,Artificial Intelligence (AI),Bengaluru,$9.6 Mn,Seed,RTP Global,9600000.0
EduFund,Fintech,Ahmedabad,$6 Mn,Series A,Cercano Management,6000000.0
EVeez,Travel Tech,Gurugram,$5.4 Mn,Series A,Michael & Susan Dell Foundation,5400000.0
Enlite Research,Enterprise Tech,Mumbai,$5.3 Mn,Series A,Avaana Capital,5300000.0
iTuring.AI,Artificial Intelligence (AI),Bengaluru,$5 Mn,Series A,"Dallas Venture Capital, Mela Ventures",5000000.0
Sugar Cosmetics,Ecommerce,Mumbai,$5 Mn,–,Anicut Capital,5000000.0
Escape Plan,Ecommerce,Bengaluru,$5 Mn,Seed,"Jungle Ventures, Fireside Ventures",5000000.0
Hudle,Enterprise Tech,Delhi,$2.5 Mn,Series A,Sky Impact Capital,2500000.0
Grexa AI,Artificial Intelligence (AI),Thane,$1.8 Mn,Seed,Utsav Somani,1800000.0
ANNY,Ecommerce,Gurugram,$1.2 Mn,Pre-Series A,Atomic Capital,1200000.0
Ammunic Systems,Advanced Hardware & Technology,Bengaluru,$1.1 Mn,Seed,"India Accelerator, Finvolve",1100000.0
Inbound Aerospace,Advanced Hardware & Technology,Chennai,$1 Mn,Pre-Seed,Speciale Invest,1000000.0
Plenome Technologies,Enterprise Tech,Chennai,$752K,Seed,Ovington Capital Partners,752000.0
Bharatsure,Fintech,Mumbai,$694K,–,Inflection Point Ventures,694000.0
ApClub,Consumer Services,Bengaluru,$231K,Pre-Seed,Curefit,231000.0
Coluxe,Ecommerce,New Delhi,–,–,-,
Magma,Enterprise Services,Ahmedabad,–,–,GVFL Limited,
Roast Foods,Ecommerce,Pune,–,–,Pagariya Exports Pvt Ltd,
KlugKlug,Enterprise Services,New Delhi,–,–,-,
KlugKlug,Enterprise Services,New Delhi,–,–,-,
QpiAI,Advanced Hardware & Technology,Bengaluru,$32 Mn,Series A,"Avataar Ventures, National Quantum Mission",32000000.0
Truemeds,Healthtech,Mumbai,$20 Mn,Series C,Peak XV Partners,20000000.0
Phi Commerce,Fintech,Pune,$5.9 Mn,Series B,BEENEXT,5900000.0
KNOT,Consumer Services,Bengaluru,$3 Mn,Pre-Series A,Kae Capital,3000000.0
Trupeer.AI,Artificial intelligence (AI),Bengaluru,$3 Mn,Seed,RTP Global,3000000.0
Omspace Rocket & Exploration,Advanced Hardware & Technology,Ahmedabad,$3 Mn,Pre-Seed,-,3000000.0
Vaaree,Ecommerce,Bengaluru,$2.1 Mn,Pre-Series A,"PeerCapital, Peak XV Surge",2100000.0
CureFit,Health Tech,Bengaluru,$2 Mn,–,First Luxembourg SCA,2000000.0
DCG Tech,Ecommerce,Gurugram,$1.7 Mn,Pre-Series A,GVFL,1700000.0
Zuppa,Advanced Hardware & Technology,Chennai,$1.5 Mn,–,Rahul Dewan,1500000.0
Deep Algorithm,Enterprise Tech,Hyderabad,$1.3 Mn,–,Unicorn India Ventures,1300000.0
Dial4242,Health Tech,Gurugram,$1.1 Mn,Pre-Series A,IAN Group,1100000.0
The Wedding Company,Consumer Services,Bengaluru,$1 Mn,Pre-Seed,LVX,1000000.0
Navana.ai,Artificial intelligence (AI),Mumbai,$812K,Pre-Series A,Antler India,812000.0
Unibose,Advanced Hardware & Technology,Chennai,$639K,Pre-Series A,O2 Angels,639000.0
Zulu Club,Consumer Services,Gurugram,$250K,Pre-Seed,TDV Partners,250000.0
Parkobot,Advanced Hardware & Technology,Kolkata,$243K,Seed,Inflection Point Ventures,243000.0
Enercomp,Advanced Hardware & Technology,Ahmedabad,$232K,–,-,232000.0
CosMoss,Ecommerce,Gurugram,–,Seed,Malika Sadani,
Onetab.ai,Artificial intelligence (AI),Bengaluru,–,–,"Hyperscope, Elrise",
Fire AI,Artificial intelligence (AI),Mumbai,–,Pre-Seed,Venture Catalysts,
Fire AI,Artificial intelligence (AI),Mumbai,–,Pre-Seed,Venture Catalysts,
Infinity Fincorp,Fintech,Mumbai,$70 Mn,-,Partners Group,70000000.0
Varthana,Fintech,Bengaluru,$18.6 Mn,Debt,-,18600000.0
Khetika,Ecommerce,Bengaluru,$18 Mn,Series B,"Narotam Sekhsaria Family Office, Anicut Capital",18000000.0
InPrime Finserv,Fintech,Bengaluru,$6 Mn,Series A,Pravega Ventures,6000000.0
Chai Bisket,Media & Entertainment,Hyderabad,$5 Mn,Seed,"InfoEdge Ventures, General Catalyst",5000000.0
Belong,Fintech,Bengaluru,$5 Mn,Seed,Elevation Capital,5000000.0
Clean Fanatics,Consumer Services,Bengaluru,$2 Mn,Seed,Inflection Point Ventures,2000000.0
Cookd,Ecommerce,Chennai,$2 Mn,Pre-Series A,Spring Marketing Capital,2000000.0
Gramik,Agritech,Lucknow,$2 Mn,-,-,2000000.0
Green Aero,Advanced Hardware & Technology,New Delhi,$1.6 Mn,Seed,pi Ventures,1600000.0
AMAMA,Ecommerce,New Delhi,$1 Mn,-,Mistry Ventures,1000000.0
WiseLife,Ecommerce,Gurugram,$932K,Seed,Rukam Capital,932000.0
Linkrunner,AI,Bengaluru,$560K,-,Titan Capital,560000.0
Divine Hindu,Ecommerce,Gurugram,$181K,Seed,-,181000.0
Jeh Aerospace,Advanced Hardware & Technology,Hyderabad,-,-,Indigo Ventures,
LdotR,Enterprise Services,New Delhi,-,-,"Basil Moftah, Mark Garlinghouse",
Qoruz,Media & Entertainment,Bengaluru,-,Pre-Series A,Chennai Angels,
Qoruz,Media & Entertainment,Bengaluru,-,Pre-Series A,Chennai Angels,
Jumbotail,Ecommerce,Bengaluru,$120 Mn,Series D,"SC Ventures, Artal Asia",120000000.0
Infra.Market,Real Estate Tech,Thane,$50 Mn,Debt,Mars Growth Capital,50000000.0
InCred Finance,Fintech,Mumbai,$46.8 Mn,Debt,"Morgan Stanley, Nippon Life India",46800000.0
Eggoz,Ecommerce,Gurugram,$20 Mn,Series C,"Gaja Capital, IvyCap Ventures, Rebright Partners, Avaana Capital, NABVENTURES, Merisis Opportunities Fund, Arvind Thakur, S Ramadorai, Artek Chemicals, Blue Dot Capital",20000000.0
AppsForBharat,Consumer Services,Bengaluru,$20 Mn,Series C,"Susquehanna Asia VC, Fundamentum, Elevation Capital, Peak XV Partners",20000000.0
Aukera,Ecommerce,Bengaluru,$15 Mn,Series B,"Peak XV Partners, Fireside Ventures, Sparrow Capital, Prath Ventures, Alteria Capital",15000000.0
Bambrew,Enterprise Services,Bengaluru,$10.5 Mn,Series B,"Ashok Goel, Enrission India Capital",10500000.0
Eeki,Agritech,Kota,$7 Mn,Series A,Sixth Sense Ventures,7000000.0
Zango AI,Artificial Intelligence (AI),Indore,$4.8 Mn,Seed,"Nexus Venture Partners, South Park Commons, Notion Capital, No Label Ventures, Start Ventures",4800000.0
Maieutic Semiconductor,Advanced Hardware & Technology,Bengaluru,$4.2 Mn,Seed,"Endiya Partners, Exfinity Venture Partners",4200000.0
Luma Fertility,Health Tech,Mumbai,$4 Mn,Seed,"Peak XV, Ameera Shah, Vijay Taparia",4000000.0
GobbleCube,Artificial Intelligence (AI),Gurugram,$3.5 Mn,Pre-Series A,"InfoEdge Ventures, Kae Capital",3500000.0
Loopworm,Health Tech,Bengaluru,$3.3 Mn,Pre-Series A,"WaterBridge Ventures, Enrission India Capital",3300000.0
CIMware,Advanced Hardware & Technology,Bengaluru,$2.3 Mn,Pre-Series A,Transition VC,2300000.0
Sthyr Energy,Cleantech,Chennai,$1 Mn,Seed,"Speciale Invest, Antares Ventures",1000000.0
Astrophel Aerospace,Advanced Hardware & Technology,Pune,$800K,Pre-Seed,-,800000.0
Lamark Biotech,Health Tech,Bengaluru,$767K,Pre-Series A,"IAN Alpha Fund, Vinayender Tulla, Nita Roy, Venkataraman KNK",767000.0
FitFeast,Ecommerce,New Delhi,$644K,Seed,"Inflection Point Ventures, Raghav Singhal, Santosh Govindaraju, Abhishek Chopra, Aabhas Khanna",644000.0
Garaaz,Enteprise Tech,Jaipur,$531K,Seed,GVFL,531000.0
FES Cafe,Foodtech,Gurugram,$351K,Seed,Wolfpack Labs,351000.0
AjnaLens,Advanced Hardware & Technology,Thane,-,-,Lenskart,
AjnaLens,Advanced Hardware & Technology,Thane,-,-,Lenskart,
Raphe mPhibr,Advanced Hardware & Technology,Noida,$100 Mn,-,"General Catalyst, Think Investments, Amal Parikh",100000000.0
GIVA,Ecommerce,Bengaluru,$62 Mn,-,"Creaegis, Premji Invest, Epiq Capital, Edelweiss Discovery Fund",62000000.0
EKA Mobility,Cleantech,Pune,$23 Mn,-,Enam Holdings,23000000.0
ShopOS,Artificial Intelligence (AI),Ahmedabad,$20 Mn,Seed Round,3STATE Ventures,20000000.0
GoKwik,Fintech,New Delhi,$13 Mn,-,"RTP Global, Z47, Peak XV Partners, Think Investments",13000000.0
Sahi,Fintech,Mumbai,$10.5 Mn,Series A,"Accel, Elevation Capital",10500000.0
Fabheads,Advanced Hardware & Technology,Chennai,$10 Mn,Series A,"Accel, Trifecta Capital",10000000.0
Kazam,Cleantech,Bengaluru,$6.2 Mn,Series B,"International Finance Corporation, Vertex Ventures SEA & India, Avaana Capital",6200000.0
Flipspaces,Real Estate Tech,Mumbai,$5.9 Mn,-,Asiana Fund,5900000.0
StayVista,Travel Tech,Mumbai,$5 Mn,Series B,"JSW Ventures, DSG Consumer Partners, Capri Global Family Office",5000000.0
Rabitat,Ecommerce,New Delhi,$4.6 Mn,Series A,"RPSG Capital, DSG Consumer Partners, Capital A, Accurize Syndicate, Flair Writing Family Office, Eagle Venture Fund, AG Ventures, Vedang Patel, Harsh Lal, Rohin Samtaney, Ramakant Sharma, Sourabh Jain, Ankit Nagori",4600000.0
ZILO,Consumer Services,Mumbai,$4.5 Mn,Seed Round,"Info Edge Ventures, Chiratae Ventures",4500000.0
Evera Cabs,Travel Tech,New Delhi,$4 Mn,Debt Round,Mufin Green Finance,4000000.0
Coratia Technologies,Advanced Hardware & Technology,Rourkela,$2 Mn,Pre-Series A,MGF-Kavachh,2000000.0
Fantail,Enterprise Services,Surat,$1.6 Mn,Seed Round,"Riverwalk Holdings, Incubate Fund Asia, All in Capital",1600000.0
Armory,Advanced Hardware & Technology,Gurugram,$1.5 Mn,-,"growX Ventures, Industrial 47, Antler, AC Ventures, Dexter Ventures",1500000.0
Jobizo,Enterprise Tech,Gurugram,$1.4 Mn,Pre-Series A,"Inflection Point Ventures, Alkemi Ventures",1400000.0
Skippi,Ecommerce,Hyderabad,$1.4 Mn,Pre-Series A,-,1400000.0
AuraML,Artificial Intelligence (AI),Bengaluru,$1 Mn,Pre-Seed,"Turbostart, DeVC, GSF Accelerator, Indian Angel Network",1000000.0
Innovodigm,Health Tech,Kolkata,$643K,Seed,IAN Group,643000.0
Truliv,Real Estate Tech,Chennai,-,-,"Bennett, Coleman & Co",
Truliv,Real Estate Tech,Chennai,-,-,"Bennett, Coleman & Co",
WIOM,Consumer Services/ Enterprise Services,New Delhi,$35 Mn,-,"Bertelsmann India Investments, Accel, Prosus, Promaft Partners, RTP global",35000000.0
POP,Fintech,Bengaluru,$30 Mn,-,Razorpay,30000000.0
Oben Electric,Cleantech,Bengaluru,$11.5 Mn,Series A,"Helios Holdings, Sharda family office, Kay family",11500000.0
Techfino,Fintech,Bengaluru,$7.5 Mn,-,"Stellaris Venture Partners, Saison Capital",7500000.0
Saswat Finance,Fintech,Mumbai,$2.6 Mn,Pre-Series A,"Ankur Capital, Incubate Fund Asia",2600000.0
illumine,Enterprise Tech,Chennai,$2.5 Mn,Seed,Prime Venture Partners,2500000.0
Darwix AI,Artificial Intelligence,Gurugram,$1.5 Mn,-,"Rebalance, IPV, JITO Incubation and Innovation Foundation, Growth Sense, Growth91, Ankit Nagori, Sanjay Suri, Amit Lakhotia, Mekin Maheshwari",1500000.0
7 Ring,Ecommerce,Mumbai,$462K,Pre-Series A,"Venture Catalysts, Anchorage Capital Partners, Sheth family office",462000.0
Nuvie,Ecommerce,Bengaluru,$450K,Pre-Seed,PedalStart,450000.0
Xportel,Logistics,Delhi,-,Seed,"Rukam Sitara, Flipkart Ventures",
Xportel,Logistics,Delhi,-,Seed,"Rukam Sitara, Flipkart Ventures",
Decentro,Fintech,Bengaluru,Rs 30 Crore,Series B,InfoEdge Ventures,360000000.0
Sanlayan Technologies,Defence Electronics,Bengaluru,Rs 186 crore,Series A,"Gemba Capital, Singularity Ventures, and Shastra VC",2232000000.0
Roomstory.ai,AI,Gurugram,Rs 3 crore,Pre-seed,Rukam Sitara Fund,36000000.0
Vecmocon Technologies,Deep-tech,New Delhi,$18 Mn,Series A,EIF,18000000.0
CRED,Fintech,Bengaluru,Rs 617 crore,Down Round,GIC’s Lathe Investment,7404000000.0
Flick TV,OTT platform,Noida,$2.3 Mn,Seed round,Stellaris Venture Partners,2300000.0
Kazam,Electric mobility,Bengaluru,$6 Mn,Series B,Vertex Ventures,6000000.0
Wow! Momo,QSR,Kolkata,Rs 85 Cr,Debt Round,Stride Ventures,1020000000.0
PowerUp Money,Wealthtech,Bengaluru,$7.1M,Seed round,Accel,7100000.0
FlexiLoans,NBFC,Mumbai,Rs 375 Cr,Series C,BII,4500000000.0
Garuda Aerospace,Drone startup,Chennai,$1 million,Funding round,Narotam Sekhsaria Family Office,1000000.0
Piston,Digital payment,Chennai,$6.1M,Seed round,"Spark Capital, Pear VC and BOND",6100000.0
Leumas,Deeptech,Bengaluru,$2.2 Mn,Seed round,Capital 2B,2200000.0
Machaxi,Sportstech,Bengaluru,$1.5 Mn,Funding Round,"Rainmatter, Prakash Padukone",1500000.0
Knest,Construction-tech,Pune,Rs 300 crore,Funding Round,Lighthouse,3600000000.0
MetaShot,Gaming,Bengaluru,Rs 2 crore,Covertible Debt,Karnataka Govt’s Venture Fund,24000000.0
Repello AI,AI security,Bengaluru,$1.2 million,Seed Funding,Venture Highway,1200000.0
GIVA,D2C Jewellery,Bengaluru,Rs 450 Cr,Series C,Creaegis,5400000000.0
Kisah,Men’s ethnicwear,Kolkata,Rs 13 crore,Funding Round,Wow Momo,156000000.0
Iom Bioworks,Deep science,Bengaluru,Rs 4 Cr,Seed Funding,Inflection Point Ventures,48000000.0
PlutoPe,Decentralized finance (DeFi),Gurugram,Rs 5 Cr,Pre-seed Round,Manit Gupta,60000000.0
Spinny,Used car platform,Gurugram,$30 million,Series F,WestBridge Capital,30000000.0
Spinny,Used car platform,Gurugram,$30 million,Series F,WestBridge Capital,30000000.0
Qubeats,Quantum Computing,Telangana,$2.91M,Grant (Prize Money),Corporate: iDEX,2910000.0
Nxt Meal,Food Tech,Karnataka,$750K,Seed,-,750000.0
The Tarzan Way,Online Travel,Delhi,$233K,Seed,Inflection Point Ventures,233000.0
LoanTap,Alternative Lending,Maharashtra,$6.29M,Series B,July Ventures,6290000.0
LoanTap,Alternative Lending,Maharashtra,$2.33M,Venture Debt,-,2330000.0
Plush,Personal Care Products,Tamil Nadu,$4.66M,Series B,Blume Ventures,4660000.0
Naagin Sauce,Food & Beverage,Maharashtra,$2.1M,Seed,8i Ventures,2100000.0
Khari Foods,Online Grocery,Delhi,$350K,Seed,Meri Punji,350000.0
Stride Green,Green SME Loans,Haryana,$3.5M,Seed,"Micelio Tech Fund, Incubate Fund India",3500000.0
Handpickd,Online Grocery,Delhi,$2.53M,Seed,"Genesia Ventures, Beenext",2530000.0
Gully Labs,Fashion Tech,Uttar Pradesh,$129K,Venture Debt,Stride Ventures,129000.0
Manipal Group,"Education, Healthcare",Karnataka,$600M,Conventional Debt,KKR,600000000.0
GyanDhan,Higher Education Tech,Delhi,$5.85M,Series A,"Pravega Ventures, Gray Matters Capital",5850000.0
Shapoorji Pallonji,Real Estate,Maharashtra,$75M,Conventional Debt,"Synergy, Cerberus Capital Management",75000000.0
Udaan,B2B E-Commerce,Karnataka,$114M,Series G,"M&G, Samena Capital",114000000.0
Pepperfry,Home Improvements,Maharashtra,$5.06M,Series F,Norwest Venture Partners,5060000.0
Spense,Investment Tech,Karnataka,$1.85M,Seed,GrowthCap Ventures,1850000.0
Samunnati,Agri-financing,Tamil Nadu,$5.84M,Conventional Debt,Elevar Equity,5840000.0
Samunnati,Agri-financing,Tamil Nadu,₹50 Cr (~$6M),Strategic Investment,-,600000000.0
Farmako,HealthTech,Uttarakhand,Undisclosed,Seed,"Genesia Ventures, Y Combinator",
Snitch,D2C Menswear Brand,-,$40M,Growth,"360 One Asset, IvyCap, SWC Global, Ravi Modi Office",40000000.0
Stable Money,FinTech,-,$20M,Series A,"Fundamentum, Aditya Birla Ventures, Lightspeed",20000000.0
Decentro,API Banking / Fintech,-,₹30 Cr (~$3.6M),Series B,"InfoEdge Ventures, Y Combinator",360000000.0
Biopeak,Wellness & Longevity,-,$3M,Seed,"Claypond Capital, Rainmatter",3000000.0
Kosmc AI,Social-Commerce Infrastructure,-,Undisclosed,Pre-Seed,-,
Atlanture Sports,Sports & Media,-,₹21 Cr (~$2.5M),Strategic Investment,Rannvijay Singha,252000000.0
True Diamond,Lab-Grown Diamond Jewellery,-,₹26 Cr (~$3.1M),Pre-Series A,-,312000000.0
Upurfit,Sports Wellness,-,Undisclosed,Strategic Investment,Jonty Rhodes (Angel Investor),
Upurfit,Sports Wellness,-,Undisclosed,Strategic Investment,Jonty Rhodes (Angel Investor),
Stable Money,Wealthtech,Bengaluru,$20 million,Series B,The Fundamentum Partnership Fund,20000000.0
Mufin Green,EV Financier,New Delhi,$18 million,Debt Funding,US-based institution,18000000.0
Slikk,Fashion Delivery,Bengaluru,$10 million,Series A,Nexus Venture Partners,10000000.0
Citykart,Value fashion retailer,Gurugram,Rs 538 crore,Series B,"TPG NewQuest, A91",6456000000.0
EUME,Premium Travel Luggage Brand,Mumbai,Rs 25 crore,Series A,Ashish Kacholia,300000000.0
Fleetx.io,SaaS,Gurugram,Rs 113 Crore,Series C,Indiamart Intermesh and BEENEXT’s Accelerate Fund,1356000000.0
Frinks AI,Manufacturing AI,Bengaluru,$5.4 million,Pre-Series A,Prime Ventures Partners,5400000.0
Contineu,Deeptech,US,$1.2 million,Seed Funding,SenseAI Ventures,1200000.0
Orbitt Space,Spacetech,Ahmedabad,$1 million,Pre-seed funding,"Pi Ventures, IIMA Ventures",1000000.0
Myntra,Fashion ecommerce,Bengaluru,$124 million,-,FK Myntra Holdings,124000000.0
GROWiT,Agritech,Surat,$3 million,Series A,GVFL,3000000.0
Saarathi Finance,NBFC,Mumbai,Rs 475 Crore,Funding round,Equity Capital,5700000000.0
ILIOS 72 Alternative Capital,Wealth Management,Gurugram,Rs 1 crore,Seed Funding,Group of family offices,12000000.0
Snabbit,Quick service app,Mumbai,$19 million,Series B,Lightspeed,19000000.0
Simply Nam,Beauty brand,Mumbai,-,-,Bhaane Group,
Cleevo,Home hygiene,Nashik,$1 million,Seed Round,Eternal Capital,1000000.0
Ziniosa,Luxury Fashion Brand,Bengaluru,Undisclosed,-,Inflection Point Ventures (IPV),
KhiladiPro,Sporttech,Bengaluru,$1 million,Pre-seed,Shastra VC and,1000000.0
Snitch,Fashion,Bengaluru,Rs 280 crore,Series B,360 Asset Management Fund,3360000000.0
Unbound,Enterprise AI security and governance,Pune,$4 million,Seed Funding,Race Capital,4000000.0
Battery Smart,Battery swapping,New Delhi,$29 million,Series B,Rising Tide Energy,29000000.0
Battery Smart,Battery swapping,New Delhi,$29 million,Series B,Rising Tide Energy,29000000.0
Euler Motors,EV,New Delhi,Rs 638 crore,Series D,Hero MotoCorp,7656000000.0
Cloudsek,Cybersecurity,Bengaluru,$19 million,Fresh Funding,Tenacity Ventures and Commvault,19000000.0
CureBay,Healthtech,Bhubaneshwar,$21 Mn,Series B,Series B,21000000.0
Miraggio,Fashion,Gurugram,$6.5 million,Institutional Round,RPSG Capital Ventures,6500000.0
Tan90,Deep-tech,Chennai,Rs 20 Cr,Series A,NABVENTURES,240000000.0
Misfits,Community Platform,Gurugram,Rs 5 Crore,Seed Round,Info Edge Ventures and Better Capital,60000000.0
Mythik,Media Technology,Mumbai,$15 million,Seed Round,Sakal Media Group,15000000.0
Biostate AI,Biotech,US,$12 million,Series A,Accel,12000000.0
Data Sutram,Fintech,Mumbai,$9 Mn,Series A,"B Capital, Lightspeed",9000000.0
Zoca,Agentic AI,Gurugram,$6 million,Funding Round,Accel,6000000.0
Promethean Energy,Cleantech,Mumbai,$2 Mn,Pre-Series A,Transition VC,2000000.0
Shuru,Social media,Gurugram,Undisclosed,Series A,Krafton India,
ALT CARBON,Deeptech,Kolkata,$12 Mn,Seed Round,Lachy Groom,12000000.0
BlackCarrot,D2C dinnerware,Mumbai,Undisclosed,Pre-seed funding,Venture Catalysts,
OpenFX,FX infrastructure,US,$23Mn,Seed Round,Accel,23000000.0
KSKT,Agri-commerce,Gurugram,$1.3 Mn,Equity and Debt Round,Keiretsu Forum and Favcy’s 1stCheque Angel Network,1300000.0
KSKT,Agri-commerce,Gurugram,$1.3 Mn,Equity and Debt Round,Keiretsu Forum and Favcy’s 1stCheque Angel Network,1300000.0
Farmley,Snacking,Noida,$40 million,Series C,L Catterton,40000000.0
Avammune Therapeutics,Healthtech,Bengaluru,$12 million,Series A,Capital 2B,12000000.0
Celebal Tech,IT services provider,Jaipur,$15 million,Series B,"InCred Growth Partners Fund-I and Norwest Capital, LLC",15000000.0
Citrus Freight,Shipping,Bengaluru,Rs 2.5 Cr,Bridge Round,"Caret Capital, Indigram Labs Foundation",30000000.0
M1xchange,Supply Chain Financing,Gurugram,$10Mn,secondary deal,Filter Capital,10000000.0
Hyperbots,AI,Mumbai,$6.5Mn,Seed Funding,Arkam Ventures and Athera Venture Partners,6500000.0
Biryani Blues,QSR,Gurugram,$5 Mn,Pre-series C,Yugadi Capital,5000000.0
Be Clinical,Skincare,Mumbai,Rs 2 Cr,Seed Round,Titan Capital,24000000.0
JSW One,B2B e-commerce,Mumbai,Rs 340 Cr,-,"Principal Asset Management, OneUp, JSW Steel",4080000000.0
TIEA Connectors,B2B ESDM (Electronic System Design and Manufacturing),Bengaluru,Rs 22 Cr,Funding Round,Jamwant Ventures And Valour Capital,264000000.0
Flam,Mixed Reality Content,Bengaluru,$14Mn,Series A,RTP Global,14000000.0
Adopt AI,Agentic AI,Bengaluru,$6 Mn,Seed Round,Elevation Capital,6000000.0
ReelSaga,Mobile-first entertainment,Mumbai,$2.1 Mn,$2.1 Mn,Picus Capital,2100000.0
BlueStone,Omnichannel jewellery,Bengaluru,Rs 40 Cr,Debt Funding,BlackSoil and Caspian Impact Investments,480000000.0
VFlowTech,Vanadium redox flow battery,Kolkata,$20.5 Mn,Funding Round,Granite Asia,20500000.0
ContraVault AI,Tender and RFP management,Delhi,Rs 5.1 Cr,Seed Funding,Titan Capital,61199999.99999999
Third Bracket,Hiring Platform,Bengaluru,Rs 5 Cr,Seed Round,HNIs,60000000.0
LUZO,"Marketplace for salons, spas, and wellness clinics",Mumbai,$550K,Seed Funding,Enrission India Capital,550000.0
Complement1,Healthtech,US,$16 million,Seed Funding,Owl Ventures and Blume Ventures,16000000.0
