Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
NOTO Ice Cream,D2C - Health Foods,Mumbai,Rs 15 crore ($1.75M),Growth Funding,"Inflection Point Ventures (IPV), JITO Incubation & Innovation Foundation, LetsVenture",180000000.0
Dynolt Technologies,Deeptech - AI & Analytics,Bengaluru,$1.7 million,Seed Round,"Transition VC, Yashowardhan Shah",1700000.0
You Care Lifestyle,Independent Verification - E-commerce,Mumbai,$1 million,Funding Round,"Luke Coutinho, Narendra Firodia",1000000.0
Healthfab,D2C - Reusable Period Panties,Bengaluru,$1 million,Pre-Series A,"Mistry Ventures, BeyondSeed, Thrive Ventures, Anupam Mittal, Aman Gupta, Vineeta Singh, Peyush Bansal",1000000.0
BYTES,AI-Powered ADAS for Two-Wheelers - MobilityTech,Pune,₹20 lakh (Non-Dilutive),Grant,Nikhil Kamath’s WTFund (2024 Cohort),
BYTES,AI-Powered ADAS for Two-Wheelers - MobilityTech,Pune,₹20 lakh (Non-Dilutive),Grant,Nikhil Kamath’s WTFund (2024 Cohort),
EnCharge AI,AI Chips - Semiconductor,California,$100 million+,Series B,Tiger Global,100000000.0
ToneTag,Digital Payments - Fintech,Bengaluru,$78 million,Funding Round,"ValueQuest Scale Fund, Iron Pillar",78000000.0
SpotDraft,Contract Lifecycle Management - CLM SaaS,Bengaluru,$54 million,Series B,"Vertex Growth Singapore, Trident Partners, Xeed VC, Arkam Ventures, Prosus Ventures, Premji Invest",54000000.0
Zeta,Banking Tech - Fintech SaaS,Hyderabad,$50 million,Investment Round (Valued at $2B),Strategic Investor,50000000.0
75F,Commercial HVAC Automation - IoT & AI,Bengaluru,$45 million,Series B,"Accurant International's Net Zero Alliance, Carrier Global Corporation, Climate Investment, Breakthrough Energy Ventures, Next47, WIND Ventures",45000000.0
Rapido,Mobility - Bike Taxi Services,Bengaluru,Rs 250 crore ($29.7M),Series E,Prosus,3000000000.0
JQR,Affordable Footwear - D2C,Bahadurgarh,$25 million,VC Funding (First Institutional),Venturi Partners,25000000.0
Lucidity,Multi-Cloud Storage - SaaS,Bengaluru,$21 million,Series A,"WestBridge Capital, Alpha Wave",21000000.0
The Whole Truth,D2C Protein Bars - Foodtech,Mumbai,Rs 133 crore ($16M),Series C,"Sofina Ventures, Peak XV Partners, Matrix Partners, Sauce.vc",1596000000.0
Nirmata,SaaS - Cloud Security,Bengaluru,$9.6 million,Funding Round,"Peak XV’s Surge, Dallas Venture Capital, Dreamit, Z5 Capital, Uncorrelated Ventures",9600000.0
BorderPlus,Global Workforce Mobility,Mumbai,$7 million,Institutional Investment Round,Owl Ventures,7000000.0
Bold Care,D2C Sexual Wellness - Healthtech,Mumbai,$5 million (Rs 43 Cr),Series A,"Zerodha’s Rainmatter, Mithun Sacheti (CaratLane), Siddhartha Sacheti (Jaipur Diamond), Gruhas Collective Consumer Fund, Claris Capital",
CapGrid Solutions,B2B Manufacturing - Supply Chain SaaS,Gurugram,$5 million,Funding Round,"Anicut Growth Fund, Nexus Venture Partners, Axilor Ventures",5000000.0
Nivaan Care,Chronic Pain Management - Healthtech,Delhi,$4.25 million,Seed Round,"Endiya Partners, W Health Ventures",4250000.0
Toonsutra,Webtoon & Comics - MediaTech,Bengaluru,$3.2 million,Seed Round,"Holtzbrinck Publishing Group, GMJP, T-Accelerate, Google, Graphic India",3200000.0
Mysa,Unified Finance - Fintech SaaS,Bengaluru,$2.8 million,Seed Round,"Blume Ventures, EMVC, Antler, Neon Fund, CIIIE, Sriharsha Majety (Swiggy), Mohit Kumar (Ultrahuman), Naiyaa Saagi (MyGlamm), Nitin Gupta (Uni)",2800000.0
Eduvanz,Education Loan - Fintech,Mumbai,Rs 25.52 crore,Bridge Funding Round,"Juvo Ventures, Capria Fund, Peak XV, Unitus Ventures",306240000.0
ArthAlpha,Investment Tech - Wealthtech,Bengaluru,$2 million+,Seed Round,"DSP, Family Offices, Wealth Managers",2000000.0
Anscer Robotics,Deeptech - Robotics,Bengaluru,$2 million,Seed Round,Info Edge Ventures,2000000.0
The Energy Company,EV Battery Solutions,Bengaluru,$2 million,Pre-Series A,"Siana Capital, Callapina Capital, Z21 Ventures, 1Crowd, LetsVenture, other investors",2000000.0
Future AGI,AI Infrastructure,Bengaluru,$1.6 million,Pre-Seed Round,"Powerhouse Ventures, Snow Leopard Ventures, AngelList Quant Fund, Saka Ventures, Swadharma Source Ventures, 30+ industry stalwarts",1600000.0
Cogniquest,Intelligent Document Processing - SaaS AI,Bengaluru,$1.2 million,Seed Round,"Cedar IBSI Capital, Dexter Venture, AngelList, Congniphy US",1200000.0
Raincheck Earth Co.,Alcoholic Beverage - D2C,Delhi,$1.2 million,Pre-Series A,"Japanese Investors, AngelList India Syndicate",1200000.0
Rupeeflo,Fintech - Lending Platform,Bengaluru,$1 million,Pre-Seed Round,Piper Serica Angel Fund,1000000.0
GoRally,Pickleball Chain - Sports,Bengaluru,Rs 6.6 crore ($750K),Pre-Seed Round,"Sujeet Kumar, Mohit Kumar, Vatsal Singhal, Viren Singhvi, Kartik Kapoor, Abhishek Goyal, Deepak Singh, Arjun Vaidya, Bharat Founders Fund",79200000.0
StepOut,Sports Tech - Performance Analysis,Bengaluru,"$500,000",Seed Round,"Rainmatter (Nithin Kamath), IndigoEdge, Marwah Sports Group, Misfits Capital",500000.0
LegUp,Caregiving Tech - Family & Wellness,Washington,Rs 2 crore ($250K),Pre-Seed Round,Bluebridge Capital Private Limited,24000000.0
Croft Beverages,Sustainable Tea - AgriTech D2C,Coimbatore,$125K,Pre-Seed Round,"Angel Investors from tea, sustainability, IT, biotech sectors",125000.0
Croft Beverages,Sustainable Tea - AgriTech D2C,Coimbatore,$125K,Pre-Seed Round,"Angel Investors from tea, sustainability, IT, biotech sectors",125000.0
Myntra,E-commerce - Fashion,Bengaluru,$81 million,Capital Infusion,Flipkart (Parent Company),81000000.0
Captain Fresh,Seafood Supply Chain,Bengaluru,Rs 250 crore ($30 million),Pre-IPO Funding Round,"Prosus Ventures, Accel, Tiger Global, family office of Sriharsha Majety (Swiggy), Sid Khanna, Sunjay Kapur, Shivalik Prints",3000000000.0
TrueFoundry,AI Deployment & Scaling,Bengaluru,$19 million,Series A,"Intel Capital, Eniac Ventures, Peak XV’s Surge, Jump Capital, Gokul Rajaram, Mohit Aron, Cyan Banister, Fortune 1000 executives",19000000.0
Cognida.ai,Enterprise AI Solutions,Hyderabad,$15 million,Series A,Nexus Venture Partners,15000000.0
HairOriginals,D2C Hair Extensions & Wigs,Gurugram,Rs 43.5 crore ($5 million),Series A,"Anicut Growth Fund, 12 Flags Consumer Holdings, Peyush Bansal (Lenskart)",522000000.0
Nua,Women’s Wellness & Hygiene,Mumbai,Rs 35 crore,Pre-Series C,"Mirabilis Investment Trust, Samir Singh (Colgate Palmolive), Shuchi Kothari (DSP Family Office)",420000000.0
Scentials,D2C Wellness,Mumbai,Rs 34.6 crore ($4 million),Debt & Equity,"Indus Way Emerging Market Fund, TIW Private Equity",415200000.0
Dreamfly Innovations,Battery Tech,Bengaluru,Rs 12 crore,Seed Round,"Avaana Capital, Sunicon Ventures",144000000.0
Mealawe,Foodtech,Pune,$1 million,Funding Round,"Shark Tank founders, FDI, angel investors from Goldman Sachs, Oracle",1000000.0
Fitspire,Health & Nutrition,Delhi,$1 million,Bridge Round (Pre-Series A),"McDonald's India (North & East) Promoter Anant Agarwal, MM Agrawal Group (MMG), AKG financials",1000000.0
Quicklend,Secured Lending,Bengaluru,Rs 6.75 crore ($774K),Pre-Seed Round,"Inuka Capital, Eximius Ventures, Upsparks Capital, GrowX, strategic angel investors",81000000.0
Babynama,Digital Pediatric Care,New Delhi,"$700,000",Seed Round,"Good Capital, Amplify, Abhishek Gupta (Fashinza), Ankit Gupta (Bicycle Health), Akshay Saxena (Avanti), Dhruv Dhanraj Bahl (Ex-BharatPe)",700000.0
Presage Insights,IoT & AI Predictive Maintenance,Faridabad,Rs 5.6 crore,Seed Round,YourNest Venture Capital (YourNest-SanchiConnect Velocity Program 2024),67200000.0
PlaySuper,Gaming Commerce,Gurugram,$500K,Seed Round,"IAN Angel Fund, 100X.VC, angel investors (Uday Sodhi, KRS Jamwal, Pratham Mittal, Rajit Bhattacharya, Ankit Das)",500000.0
Origamis AI,GenAI Startup,Bengaluru,$500K,Seed Round,"Vikas Gautam, Naveen Agarwal",500000.0
Astra Security,Cybersecurity,New Delhi,$2.7 million,Funding Round,"Emergent Ventures, The Neon Fund, Better Capital, Blume Ventures, PointOne Capital",2700000.0
Vahan.ai,AI Hiring Platform,Bengaluru,Undisclosed,Strategic Investment,Persol Group (Asia-Pacific HR Services Provider),
BonV Aero,Drone Manufacturing,Bhubaneswar,Undisclosed,Funding Round,Unicorn India Ventures,
COLUXE,Lab-grown Diamonds - LGD Brand,New Delhi,Undisclosed,Angel Round,"Angel Round (Launched by Priyanka Gill, Venture Partner at Kalaari Capital, Co-founder of Good Glamm Group)",
COLUXE,Lab-grown Diamonds - LGD Brand,New Delhi,Undisclosed,Angel Round,"Angel Round (Launched by Priyanka Gill, Venture Partner at Kalaari Capital, Co-founder of Good Glamm Group)",
Meesho,E-commerce,Bengaluru,$500-$550 million,Funding Round,"Tiger Global, Think Investments, Mars Growth Global, Peak XV Partners, WestBridge Capital",
Leap,Edtech - Student Mobility,Bengaluru,$65 million,Primary and Secondary Equity,"Apis Growth Markets Fund III, Apis Global Growth Fund III, Owl Ventures, Jungle Ventures, Peak XV Partners",65000000.0
Atomicwork,B2B SaaS,Bengaluru,$25 million,Series A,"Khosla Ventures, Z47 (formerly Matrix Partners India), Battery Ventures, Blume Ventures, Peak XV Partners",25000000.0
SuperOps,IT Management SaaS,Chennai,$25 million,Series C,"March Capital, Lee Fixel’s Addition, Z47",25000000.0
Innov8,Coworking,New Delhi,Rs 110 crore ($13 million),Primary Funding Round,"Mankind Pharma, Gauri Khan, Rupa Group, Jagruti Dalmia",1320000000.0
Geri Care Health Services,Senior Healthcare,Chennai,Rs 110 crore ($13 million),Funding Round,InvAscent (India Life Sciences Fund IV),1320000000.0
Emiza,Logistics,Mumbai,Rs 100 crore,Series C,"Evolvence India, Mirabilis Investment Trust",1200000000.0
VoltUp,EV Infrastructure,Pune,$8 million,Seed Round,EM Impact Capital (UK-based impact investment firm),8000000.0
Astrome Technologies,Telecom - E-band Solutions,Bengaluru,$10 million,Funding Round,"Apollo Fund, IAN Group",10000000.0
Ambak,Fintech,Gurugram,$7 million,Seed & Pre-Series A,"Peak XV’s Surge, Advantedge VC, DeVC, angel investors",7000000.0
GrowXCD Finance,NBFC - MSME Lending,Chennai,Rs 50 crore,Equity Funding,"Lok Capital, UC Impower",600000000.0
Whizzo,Materials Science Manufacturing,Bengaluru,$4.2 million,Seed Round,"Lightspeed, BEENEXT",4200000.0
Bizloan,NBFC - SME Lending,Gurugram,Rs 35 crore ($4.16M),Series A,"Michael & Susan Dell Foundation, BLinC Invest",420000000.0
Salad Days,D2C Food,Gurugram,Rs 30 crore ($3.6 million),Series A,"V3 Ventures, Client Associates Alternate Fund (CAAF)",360000000.0
CHK,D2C Footwear,Bengaluru,$2.5 million,Funding Round,"Accel, Bluestone, individual investors",2500000.0
MetaShot,Gaming - Console,Bengaluru,Rs 11 crore,Equity & Debt,"Sauce.vc, Sharrp Ventures, Panthera Peak Capital",132000000.0
Sammmm,Teen Self-care Brand,Mumbai,Rs 10 crore ($1.2 million),Seed Round,"Fireside Ventures, Sauce VC, Nihir Parikh, Sachin Parikh, Shantanu & Nikhil Mehra",120000000.0
Origin Fresh,Fresh Produce D2C,Bengaluru,$1 million,Pre-Seed Round,"Aeravti Ventures, Ultra HNIs",1000000.0
Shoppin,Fashion Search Engine,India,$1 million,Funding Round,InfoEdge Ventures,1000000.0
ThinkMetal,Deeptech - Manufacturing,Chennai,"$800,000",Pre-Series A,"YourNest Venture Capital, Concept Communications, Sanchi Connect",800000.0
Utsav,Spiritual & Devotion Platform,Kolkata,Rs 6.35 crore,Funding Round,Equanimity Investments,76200000.0
MedMitra AI,Healthtech - AI-driven Solutions,Jaipur,Rs 3 crore,Funding Round,"All In Capital, WEH Ventures",36000000.0
Dressfolk,D2C Handloom Clothing,New Delhi,Undisclosed,Funding Round,"Eternal Capital, along with D2C founders Ghazal Alagh (founder, Mamaearth) and Dhruv Koli (founder, Boba Bhai), with participation from Nobody Ventures and Eagle Wings Ventures",
Dressfolk,D2C Handloom Clothing,New Delhi,Undisclosed,Funding Round,"Eternal Capital, along with D2C founders Ghazal Alagh (founder, Mamaearth) and Dhruv Koli (founder, Boba Bhai), with participation from Nobody Ventures and Eagle Wings Ventures",
Infra.Market,Construction Materials,Mumbai,$121 million,Funding Round,Tiger Global,121000000.0
Nazara Technologies,Gaming & Media,Mumbai,Rs 495 crore ($60 million),Funding Round,"Axana Estates LLP, Arpit Khandelwal, Mithun Sacheti",5940000000.0
Ati Motors,Industrial Robotics,Bengaluru,$20 million,Series B,"Walden Catalyst Ventures, NGP Capital, True Ventures, Exfinity Venture Partners, Athera Venture Partners, Blume Ventures",20000000.0
Aris Infra Solutions,Tech-enabled Procurement,Mumbai,Rs 80 crore,Pre-IPO Round,Mukul Agrawal (Param Capital),960000000.0
Deconstruct,D2C Skincare,Bengaluru,Rs 65 crore ($7.7 million),Funding Round,"BOLD (L’Oréal’s VC Fund), V3 Ventures, DSG Consumer Partners, Kalaari Capital, Beenext",780000000.0
VuNet Systems,Business Observability,Bengaluru,Rs 60 crore ($6.94 million),Series B,"Pravega Ventures, Kotak Securities, Mela Ventures, Athera Venture Partners, Dallas Venture Capital, TVS Capital Funds",720000000.0
Medusa Beverages,Beer Manufacturing,Delhi,Rs 56 crore,Series A,"Amal N Parikh, Ashwin Kedia, Ramesh Damani, Nikhil Garg, Crest Opportunities, HNIs (Singapore, UK, UAE)",672000000.0
Snabbit,Quick Service App,Bengaluru,$5.5 million,Series A,"Elevation Capital, Nexus Venture Partners, Vidit Aatrey, Sanjeev Barnwal, Gaurav Munjal, Niraj Singh",5500000.0
Landeed,Property Title Search Engine,Hyderabad,$5 million,Series X,"10x Founders Fund, Oliver Jung, Paradigm Shift, Pioneer Fund, others",5000000.0
KisanKonnect,D2C Food Brand,Mumbai,$4.5 million,Series A,"Mistry Ventures, Brand Capital, Shilpa Shetty, VC-Grid, Vishwang Desai",4500000.0
BPR Hub,Compliance for Manufacturers,California,$2.6 million,Seed Round,"Accel, Kae Capital",2600000.0
Pipeshift,AI Infrastructure,San Francisco,$2.5 million,Seed Round,"Y Combinator, SenseAI Ventures, Arka Venture Labs, Good News Ventures, others",2500000.0
Zeelab Pharmacy,Healthcare,Delhi,$2.4 million,Maiden Funding Round,OTP Ventures,2400000.0
ProcureYard,B2B Raw Materials,Haryana,$1.72 million,Seed Round,"Powerhouse Ventures, Java Capital, 2am VC, angels including Abhishek Goyal and Rajesh Sawhney",1720000.0
Workie,Office Space Management,Indore,Rs 13 crore,Equity Round,"Sunil Singhania Family Office, NAV Capital, Raman Roy, others",156000000.0
Cancrie,Nanocarbon Materials,Jaipur,$1.2 million,Seed Round,"Roots Ventures, IIMA Ventures",1200000.0
Raaz App,Healthcare,Bengaluru,$1 million,Funding Round,"Fireside Ventures, Campus Fund, Better Capital",1000000.0
Postudio,Post-Production SaaS,Mumbai,$1 million,Pre-Seed Round,Audacity Venture Capital,1000000.0
Chelvies Coffee,Coffee & Dining Brand,Noida,$1 million,Pre-Series A,Endurance Capital,1000000.0
Krvvy,D2C Lingerie & Shapewear,Noida,Rs 6.1 crore ($705K),Pre-Seed Round,"Titan Capital, All In Capital, angels such as Nikita Gupta, Emmanuel Suraj, and others",73200000.0
Prantae Solutions,Deep Tech,Bhubaneswar,Rs 5 crore,Seed Round,"IAN Group, IAN Alpha Fund, Samir Kalia, Deepank Kumar, Nitin Zamre",60000000.0
Exsure,Biotech,Bhubaneswar,Rs 3 crore,Seed Round,Unicorn India Ventures,36000000.0
Dream Aerospace,Aerospace & Defense,Chennai,Rs 3 crore,Pre-Seed Round,Inflection Point Ventures,36000000.0
SVASTEK,Medtech,New Delhi,Rs 2 crore,Seed Round,IAN Angel Fund,24000000.0
JoySpoon,Mouth Freshener,Ahmedabad,Rs 56 lakh,Seed Round,"Dishit Nathwani, Prateek Toshniwal, others",
JoySpoon,Mouth Freshener,Ahmedabad,Rs 56 lakh,Seed Round,"Dishit Nathwani, Prateek Toshniwal, others",
Aragen,Contract R&D and Manufacturing,Hyderabad,$100 million,Investment Round,Quadria Capital,100000000.0
Netradyne,AI & Edge Computing SaaS,Bengaluru,$90 million,Series D,"Point72 Private Investments, Qualcomm Ventures, Pavilion Capital",90000000.0
WeWork India,Flexible Workspace,Bengaluru,Rs 500 crore ($57.8 million),Rights Issue,Rights Issue,6000000000.0
Foxtale,D2C Skincare,Mumbai,$30 million,Funding Round,"Kose Corporation, Z47 (Matrix Partners India), Kae Capital, Panthera Growth Partners",30000000.0
Ecozen,Climate-Focused Deeptech,Pune,$23 million,Debt Round,"responsAbility Investments AG, Northern Arc Capital Limited, Maanaveeya Development & Finance Private Limited",23000000.0
BGauss,Electric Two-Wheeler Manufacturing,Pune,Rs 161 crore ($20 million),Funding Round,Bharat Value Fund (BVF),1932000000.0
MicroMitti,Proptech,Indore,Rs 90 crore,Funding Round,"Prominent HNIs, family offices, and business leaders",1080000000.0
Sarla Aviation,Aerospace & Electric Flying Taxis,Bengaluru,$10 million,Funding Round,Accel,10000000.0
Skor Technologies,Credit & Financial Services,Bengaluru,$6.2 million,Pre-Series A,"Argor Capital, QED Investors, Saison Capital, Digital Currency Group",6200000.0
AstroSure.ai,Astro-Tech,Chennai,$6 million,Seed Round,"Pradeep Dadha, others",6000000.0
Emiza Supply Chain Services,Logistics & Warehousing,Mumbai,Rs 50 crore ($6 million),Funding Round,"Evolvence India, Mirabilis Investment",600000000.0
Eccentric,Automotive 3D Tech,Mumbai,$5 million,Pre-Series A,"Exfinity Venture Partners, Arkam Ventures",5000000.0
WeVOIS,Waste Management,Jaipur,Rs 36 crore ($4.2 million),Series A,"Negen Capital, Vyom Wealth, Venture Catalysts, SN Capital, Warmup Ventures, Marsshot Ventures, others",432000000.0
Boba Bhai,QSR - Bubble Tea,Bengaluru,Rs 30 crore,Funding Round,8i Ventures,360000000.0
Constelli,Defense Tech,Hyderabad,$3 million,Pre-Series A,Pravega Ventures,3000000.0
Fambo,Foodtech,Noida,Rs 21 crore ($2.5 million),Pre-Series A,"EV2 Ventures, Rajesh Sawhney, UHNIs",252000000.0
TyrePlex,B2B Tyre Marketplace,New Delhi,Rs 20 crore ($2.4 million),Funding Round,"PeerCapital, Titan Capital Winners Fund, Sattva Family Office, others",240000000.0
Zerocircle,Biotech - Seaweed Alternatives,Pune,Rs 20 crore,Funding Round,"Rainmatter, 1Crowd, VC Grid, 7th Gen Ventures, Trudie Styler",240000000.0
KisaanSay,Food Brand,Gurugram,$2 million,Pre-Seed Round,"Jungle Ventures (First Cheque@Jungle), senior food industry leaders",2000000.0
ErlySign,Healthtech,Nagpur,Rs 16 crore ($1.8 million),Pre-Series A,Ashish Kacholia,192000000.0
OrbitAID,Spacetech,Bengaluru,$1.5 million,Pre-Seed Round,"Unicorn India Ventures, TANSIM (Tamil Nadu Government)",1500000.0
GreenStitch,Climate Tech - Fashion,Bengaluru,$1.2 million,Seed Round,"Equirus InnovateX Fund, Ivycap Ventures, Warmup Ventures, Zeca Ventures",1200000.0
ParkMate,Parking Management,Noida,$1.2 million,Funding Round,"Cactus Partners, Venture Catalysts, Marwah Group Family Office",1200000.0
RePut.ai,Supply Chain Solutions,Bengaluru,$1 million,Pre-Seed Funding,"GrowthCap Ventures, angel investors",1000000.0
Quash,AI Startup,Delhi,"$635,000",Pre-Seed Funding,"Arali Ventures, Java Capital, PeerCheque, DeVC (Matrix Partners), Tracxn Co-founder",635000.0
House of Chikankari,D2C Ethnic Wear,New Delhi,Rs 4 crore,Seed Round,"Tudip Ventures, Peyush Bansal (Lenskart), Ankit Nagori, others",48000000.0
Tractor Factory,Agritech,Hoshiarpur,Rs 4 crore,Pre-Seed Round,"All In Capital, Bharat Founders Fund, Devc, family offices",48000000.0
Sukoon Unlimited,Agetech,Bengaluru,"$430,000",Pre-Seed Round,"Anchorage Capital Partners, Vinay Jain, Manish Dureja, others",430000.0
Indiyanet,Commercial Mobility,Bhubaneswar,Undisclosed,Pre-Seed Funding,"PointOne Capital, angel investors",
Indiyanet,Commercial Mobility,Bhubaneswar,Undisclosed,Pre-Seed Funding,"PointOne Capital, angel investors",
Innovaccer Inc.,Healthcare AI,Bengaluru,$275 million,Series F (Primary & Secondary),"B Capital Group, Banner Health, Danaher Ventures LLC, Generation Investment Management, Kaiser Permanente, M12",275000000.0
Oyo,Hospitality,Gurugram,Rs 550 crore ($65 million),Funding Round,Redsprig Innovation Partners (Ritesh Agarwal’s affiliated entity),6600000000.0
Infinity Fincorp Solutions,NBFC,Mumbai,$35 million,Funding Round,"Jungle Ventures, Archerman Capital, Magnifico",35000000.0
Botanic Healthcare,Nutraceutical,Hyderabad,Rs 250 crore ($30 million),Equity Financing,"Stakeboat Capital, Abakkus Four2Eight Opportunities Fund, DS Group",3000000000.0
Waycool,B2B Food & Agritech,Chennai,Rs 110 crore ($13 million),Debt Round,Grand Anicut,1320000000.0
GrayQuest,Edtech/Fintech,Mumbai,Rs 80 crore ($9.3 million),Series B (Equity),"IIFL Fintech Fund, Claypond Capital (Ranjan Pai Family Office), Pravega Ventures",960000000.0
Vehant Technologies,Security & Surveillance,Noida,Rs 75 crore ($9 million),Mezzanine Round,True North’s Private Credit Fund,900000000.0
Mintoak,SaaS,Mumbai,Rs 71 crore,Secondary Funding,Z3Partners,852000000.0
Beyond Snack,Banana Chips Brand,Alappuzha,$8.3 million,Series A,12 Flags Group,8300000.000000001
Emo Energy,Energy Tech,Bengaluru,$6.2 million,Equity Funding,"Subhkam Ventures, Microtek Group, SRK Family Office, Transition VC",6200000.0
Oben Electric,EV Manufacturing,Bengaluru,Rs 50 crore ($6 million),Series A,"Ambis Holding US, Kuberan Ventures, Karimjee Group, Mission Vertical, Sanjeev Saraf Family Office, Pravek Kalp Family Office, others",600000000.0
RAS,Luxury Skincare,Raipur,$5 million,Series A,"Unilever Ventures, Amazon Smbhav Venture Fund",5000000.0
BrainSight AI,Deep-tech Neuroscience,Bengaluru,$5 million,Pre-Series A,"IAN Alpha Fund, IvyCap Ventures, Silver Needle",5000000.0
hBits,Commercial Real Estate,Mumbai,Rs 40 crore,Series A,Capricon Realty Private Limited (Thackersey Group),480000000.0
Zoplar,Medical Equipment Procurement,Gurugram,$3.4 million,Series A,"Blume Ventures, Beenext, Saison Capital, Atrium Angels, Finfirst, LogX",3400000.0
Moonrider,Electric Tractor Tech,Bengaluru,$2.2 million (Rs 19 crore),Seed Round,"AdvantEdge Founders, Micelio Technology Fund, angel investors",
Consint.AI,Healthtech,Noida,Rs 5 crore,Funding Round,"Equanimity Ventures, Seafund",60000000.0
NapTapGo,Affordable Hospitality,Noida,Rs 1 crore,Equity Funding,Balmer Lawrie & Co Ltd,12000000.0
KIBI Sports,Sports Tech,Bengaluru,"$100,000",Pre-Seed Funding,"Angel Investors including Saurabh Aggarwal, Arpit Bhardwaj, Vartika Joshi, others",100000.0
